City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port alfred,-33.5906,26.891,52.18,92,0,14.65,ZA,1689302273
84,saipan,15.1355,145.701,90.3,100,20,14.97,MP,1689302274
85,tsumeb,-19.2333,17.7167,49.21,48,1,9.35,NA,1689302274
86,east london,-33.0153,27.9116,56.82,78,0,11.88,ZA,1689302274
87,jonuta,18.0833,-92.1333,82.26,75,35,8.23,MX,1689302274
88,tarhuna,32.435,13.6332,70.07,64,0,10.47,LY,1689302274
89,palapag,12.5458,125.1147,87.31,65,99,10.49,PH,1689302274
90,punta arenas,-53.15,-70.9167,31.68,86,15,4.72,CL,1689302274
91,borkum,53.5809,6.6915,62.55,86,51,13.8,DE,1689301989
92,baiyin,36.5583,104.2081,72.25,37,99,5.39,CN,1689302275
93,prokhorovka,51.0374,36.7325,65.77,93,100,5.1,RU,1689302275
94,yomju-up,39.8933,124.5981,73.04,99,100,5.39,KP,1689302275
95,richards bay,-28.783,32.0377,58.82,83,26,3.02,ZA,1689302275
96,ad dawadimi,24.5077,44.3924,79.95,13,100,8.37,SA,1689302275
97,ghadamis,30.1337,9.5007,82.76,19,0,8.7,LY,1689302275
98,bubaque,11.2833,-15.8333,81.41,82,95,10.47,GW,1689302275
99,port macquarie,-31.4333,152.9167,71.89,45,0,7.43,AU,1689302196
100,hammerfest,70.6634,23.6821,61.25,63,75,5.75,NO,1689302275
101,brookings,44.3114,-96.7984,76.17,76,0,0.0,US,1689302150
102,avarua,-21.2078,-159.775,80.65,78,10,4.61,CK,1689302276
103,osmancik,40.9782,34.8047,66.81,76,0,1.54,TR,1689302276
104,nueva helvecia,-34.3,-57.2333,44.6,73,8,3.94,UY,1689302276
105,lata,40.1629,-8.3327,60.08,67,6,1.86,PT,1689302276
106,christchurch,-43.5333,172.6333,59.2,66,10,2.3,NZ,1689302008
107,la passe,45.5549,-0.8967,58.98,79,69,6.8,FR,1689302276
108,udachny,66.4167,112.4,48.45,49,100,13.96,RU,1689302276
109,nandurbar,21.3667,74.25,79.27,81,100,15.99,IN,1689302277
110,arno,60.1167,18.6333,60.78,85,0,8.08,SE,1689302277
111,abu jibeha,11.4562,31.2285,74.86,80,45,6.62,SD,1689302277
112,labuan,5.2767,115.2417,82.76,69,20,2.3,MY,1689302277
113,puerto ayora,-0.7393,-90.3518,77.56,92,35,5.01,EC,1689302277
114,ribeira grande,38.5167,-28.7,68.77,84,14,8.99,PT,1689302277
115,groningen,53.25,6.75,58.03,89,74,7.4,NL,1689302027
116,nemuro,43.3236,145.575,57.09,94,100,7.18,JP,1689302277
117,al kharijah,25.4514,30.5464,78.06,23,65,8.19,EG,1689302277
118,mgandu,-5.95,34.1333,53.06,80,3,7.99,TZ,1689302278
119,talnakh,69.4865,88.3972,42.21,76,90,5.86,RU,1689301998
120,danilovka,50.3557,44.1168,61.88,78,89,9.78,RU,1689302278
121,zhangye,38.9342,100.4517,80.17,21,85,2.89,CN,1689302278
122,angaur state,6.906,134.13,82.13,81,94,12.77,PW,1689302278
123,wahpeton,46.2652,-96.6059,71.62,73,0,0.0,US,1689302278
124,palikir - national government center,6.9248,158.1611,83.25,74,100,14.97,FM,1689302278
125,polyarnyy,69.1989,33.4478,55.94,65,84,12.33,RU,1689301999
126,gadzhiyevo,69.2551,33.3362,55.63,65,87,12.44,RU,1689301995
127,vorkuta,67.5,64.0,54.5,53,6,0.89,RU,1689302279
128,freeport,40.6576,-73.5832,84.18,85,20,17.27,US,1689302279
129,la sarre,48.8002,-79.1996,53.15,95,30,0.54,CA,1689302279
130,belaya kholunitsa,58.84,50.8528,57.04,82,21,2.82,RU,1689302279
131,ar ruways,24.1103,52.7306,88.5,70,13,2.01,AE,1689302279
132,badger,64.8,-147.5333,72.52,46,100,6.91,US,1689302279
133,kodiak,57.79,-152.4072,65.71,59,40,8.05,US,1689302169
134,riverton,40.5219,-111.9391,92.44,15,0,6.91,US,1689302279
135,acarau,-2.8856,-40.12,78.08,84,0,14.2,BR,1689302279
136,blackmans bay,-43.0167,147.3167,59.13,55,100,8.46,AU,1689302280
137,yinchuan,38.4681,106.2731,79.43,32,58,5.1,CN,1689302280
138,umba,66.6871,34.3429,57.04,71,100,5.84,RU,1689302280
139,al ghayzah,16.2079,52.176,80.4,87,89,1.79,YE,1689302280
140,arraial do cabo,-22.9661,-42.0278,70.7,74,0,18.72,BR,1689302280
141,mushie,-3.0167,16.9,74.03,45,60,0.45,CD,1689302280
142,qarqaraly,49.4058,75.4742,89.11,19,2,11.52,KZ,1689302280
143,swan hill,-35.3378,143.5544,60.15,45,100,14.79,AU,1689302280
144,mukalla,14.5425,49.1242,85.75,69,60,2.59,YE,1689302281
145,petropavlovsk-kamchatsky,53.0452,158.6483,52.39,100,100,8.95,RU,1689302281
146,plyeshchanitsy,54.4222,27.8331,60.06,74,100,5.64,BY,1689302281
147,okakarara,-20.5833,17.4333,40.66,66,2,7.96,NA,1689302281
148,kushk,33.2957,61.9522,85.84,18,0,25.81,AF,1689302281
149,kerikeri,-35.2268,173.9474,64.9,71,51,5.01,NZ,1689302169
150,ambon,-3.6954,128.1814,80.74,83,40,11.5,ID,1689302281
151,weno,7.4515,151.8468,87.75,74,75,8.05,FM,1689302281
152,mawlamyinegyunn,16.3833,95.2667,80.51,83,100,5.93,MM,1689302282
153,kuala belait,4.5833,114.1833,84.36,78,100,5.73,BN,1689302282
154,corralillo,22.9819,-80.5856,81.79,79,96,8.68,CU,1689302282
155,isiro,2.7739,27.616,64.69,99,39,2.3,CD,1689302282
156,praia da vitoria,38.7333,-27.0667,70.05,88,100,10.16,PT,1689302282
157,anar darah,32.7587,61.654,89.71,18,0,12.41,AF,1689302282
158,kayangel,8.0823,134.7173,82.92,74,100,8.12,PW,1689302282
159,margaret river,-33.95,115.0667,57.29,50,87,16.08,AU,1689302283
160,eden isle,30.2285,-89.7987,89.65,71,0,13.0,US,1689302283
161,kapuskasing,49.4169,-82.4331,66.29,72,0,3.44,CA,1689302283
162,monterey,36.2505,-121.2516,73.17,29,0,9.33,US,1689302283
163,la ronge,55.1001,-105.2842,64.65,52,100,11.5,CA,1689302283
164,prainha,-1.8,-53.48,74.14,93,42,0.31,BR,1689302283
165,letlhakeng,-24.0944,25.0298,41.68,71,0,9.33,BW,1689302283
166,betio village,1.358,172.9211,77.04,75,99,4.63,KI,1689302284
167,itacoatiara,-3.1431,-58.4442,76.89,78,54,1.23,BR,1689302073
168,guerrero negro,27.9769,-114.0611,68.68,72,0,17.67,MX,1689302284
169,sotouboua,8.5667,0.9833,71.01,95,73,1.57,TG,1689302284
170,remire-montjoly,4.9167,-52.2667,75.24,94,0,0.0,GF,1689302284
171,atar,20.5169,-13.0499,91.51,13,0,0.96,MR,1689302284
172,sao joao dos patos,-6.495,-43.7022,76.73,47,4,3.29,BR,1689302284
173,whitehorse,60.7161,-135.0538,69.1,59,75,3.44,CA,1689302285
174,san patricio,28.017,-97.5169,86.18,81,0,16.69,US,1689302285
175,carnarvon,-24.8667,113.6333,66.78,73,57,15.57,AU,1689302285
176,khandyga,62.6667,135.6,69.87,45,96,2.75,RU,1689302285
177,fukuecho,32.6881,128.8419,82.76,89,75,13.8,JP,1689302285
178,uturoa,-16.7333,-151.4333,78.91,80,56,16.73,PF,1689302285
179,port pirie,-33.1833,138.0167,59.97,47,6,18.16,AU,1689302285
180,lompoc,34.6391,-120.4579,80.69,81,0,11.5,US,1689302286
181,crane,31.3974,-102.3501,93.96,27,0,16.62,US,1689302286
182,rio grande,-32.035,-52.0986,49.95,80,100,19.71,BR,1689302286
183,san jeronimo de juarez,17.1333,-100.4667,81.9,85,67,3.94,MX,1689302286
184,saint croix,17.7397,-64.7388,81.05,78,100,9.22,VI,1689302040
